mhjd	mag_A	magerr_A	mag_B	magerr_B	mag_D	magerr_D	telescope
57590.43803	-11.59910	0.04776	-12.30145	0.02634	-11.30730	0.06343	EulerCAM
57591.43329	-11.59962	0.03277	-12.33760	0.02591	-11.23579	0.03759	EulerCAM
57593.43972	-11.61534	0.03931	-12.29884	0.01315	-11.26636	0.03229	EulerCAM
57601.38158	-11.53892	0.01552	-12.30969	0.00859	-11.19160	0.04744	EulerCAM
57609.35782	-11.55036	0.01313	-12.28059	0.01223	-11.22768	0.01671	EulerCAM
57617.40012	-11.55237	0.02560	-12.29548	0.01337	-11.24507	0.03107	EulerCAM
57622.38225	-11.54540	0.03495	-12.30213	0.01162	-11.13970	0.03076	EulerCAM
57625.39291	-11.51848	0.01323	-12.26213	0.00904	-11.17207	0.02129	EulerCAM
57629.34065	-11.50897	0.01041	-12.25017	0.00590	-11.14321	0.01430	EulerCAM
57636.37430	-11.52313	0.01395	-12.25336	0.01676	-11.14356	0.05838	EulerCAM
57651.34313	-11.58076	0.01609	-12.24920	0.00939	-11.22836	0.02203	EulerCAM
57655.35587	-11.53728	0.01535	-12.28417	0.00926	-11.18416	0.02098	EulerCAM
57659.37547	-11.57052	0.01107	-12.24695	0.00657	-11.12777	0.02087	EulerCAM
57663.27046	-11.57855	0.01001	-12.22644	0.00626	-11.12309	0.02294	EulerCAM
57663.28341	-11.58195	0.00807	-12.22481	0.00647	-11.13344	0.00338	WFI
57664.19565	-11.57798	0.00800	-12.23136	0.01198	-11.16593	0.01057	WFI
57666.23687	-11.60461	0.00962	-12.23275	0.00345	-11.14594	0.00709	WFI
57667.25191	-11.61620	0.00945	-12.23689	0.00601	-11.14754	0.01395	EulerCAM
57668.33689	-11.61209	0.01269	-12.22704	0.00293	-11.13541	0.00665	WFI
57669.20685	-11.60835	0.00455	-12.22150	0.00331	-11.13575	0.00736	WFI
57670.20815	-11.62968	0.01121	-12.22853	0.00360	-11.14361	0.01175	WFI
57671.20407	-11.61827	0.00637	-12.21988	0.00394	-11.14104	0.00963	WFI
57671.25057	-11.62758	0.01396	-12.24093	0.00818	-11.14165	0.02343	EulerCAM
57672.19641	-11.61989	0.00602	-12.21260	0.00468	-11.12037	0.00910	WFI
57673.38132	-11.64174	0.00673	-12.21730	0.00603	-11.13903	0.01042	WFI
57674.25388	-11.66802	0.01348	-12.21683	0.00835	-11.19007	0.02064	WFI
57681.20948	-11.62141	0.00948	-12.20778	0.00781	-11.12866	0.01463	WFI
57682.20663	-11.63963	0.00647	-12.20979	0.00408	-11.13047	0.00998	WFI
57684.17044	-11.66226	0.00739	-12.21370	0.00476	-11.17079	0.01120	WFI
57686.22261	-11.66862	0.01568	-12.21505	0.00546	-11.16283	0.01321	WFI
57687.20746	-11.63584	0.01019	-12.19780	0.00370	-11.12978	0.00861	WFI
57687.28049	-11.63230	0.01606	-12.20326	0.00732	-11.11702	0.01774	EulerCAM
57688.19326	-11.63162	0.00459	-12.20326	0.00331	-11.13680	0.00677	WFI
57689.25382	-11.64210	0.00432	-12.19298	0.00296	-11.13438	0.01011	WFI
57690.19828	-11.64274	0.00480	-12.20814	0.00309	-11.12501	0.00762	WFI
57690.29473	-11.64751	0.01025	-12.22475	0.00665	-11.13388	0.01585	EulerCAM
57691.21169	-11.65190	0.00524	-12.20023	0.00302	-11.13769	0.00658	WFI
57692.28343	-11.64763	0.00927	-12.21756	0.00535	-11.17127	0.01008	WFI
57693.34142	-11.68018	0.00874	-12.22107	0.00534	-11.16553	0.01306	WFI
57694.21041	-11.66477	0.00678	-12.20184	0.00744	-11.15716	0.01045	WFI
57695.18288	-11.66947	0.01001	-12.21571	0.00666	-11.10979	0.01608	EulerCAM
57695.25835	-11.66440	0.00428	-12.20577	0.00331	-11.12846	0.01114	WFI
57696.28345	-11.66977	0.00507	-12.20676	0.00480	-11.12850	0.00694	WFI
57697.15246	-11.66277	0.00424	-12.20963	0.00294	-11.11001	0.00641	WFI
57699.13995	-11.69309	0.01278	-12.24652	0.01476	-11.13869	0.03103	EulerCAM
57700.14506	-11.68047	0.01069	-12.20391	0.00881	-11.12207	0.00942	WFI
57701.35406	-11.67863	0.00468	-12.19846	0.00317	-11.10758	0.00897	WFI
57702.35000	-11.68694	0.00825	-12.19151	0.00337	-11.10595	0.00715	WFI
57703.32591	-11.69996	0.00434	-12.18787	0.00346	-11.10014	0.00691	WFI
57704.33472	-11.69110	0.01590	-12.16965	0.01009	-11.10575	0.02481	WFI
57708.26852	-11.70648	0.01154	-12.17949	0.00762	-11.11837	0.02436	WFI
57710.22524	-11.71007	0.00843	-12.17395	0.00421	-11.09949	0.01025	WFI
57713.07958	-11.69820	0.00647	-12.15083	0.00452	-11.14541	0.01380	WFI
57714.14280	-11.67527	0.00730	-12.15373	0.00698	-11.15231	0.03051	WFI
57716.21028	-11.67801	0.00672	-12.16522	0.00460	-11.12855	0.01659	WFI
57717.13735	-11.64641	0.01080	-12.14238	0.00795	-11.10707	0.01705	EulerCAM
57717.16968	-11.67520	0.00645	-12.15448	0.00358	-11.10832	0.01182	WFI
57723.23342	-11.64662	0.00547	-12.14861	0.00388	-11.08705	0.00864	WFI
57724.13507	-11.63955	0.00998	-12.16587	0.01054	-11.07953	0.01858	EulerCAM
57725.29309	-11.62566	0.00637	-12.15067	0.00345	-11.10051	0.01173	WFI
57726.22607	-11.62294	0.00523	-12.16069	0.00657	-11.10546	0.00919	WFI
57728.06340	-11.62267	0.01253	-12.16417	0.00824	-11.07338	0.02017	EulerCAM
57728.17485	-11.61041	0.00460	-12.15836	0.00362	-11.08737	0.00690	WFI
57729.06521	-11.61736	0.00881	-12.16520	0.00562	-11.08454	0.01045	WFI
57733.11554	-11.64418	0.02000	-12.20985	0.01239	-11.12023	0.03218	EulerCAM
57736.11555	-11.63533	0.05307	-12.17057	0.01784	-11.07173	0.08003	EulerCAM
57741.11394	-11.62210	0.00954	-12.11211	0.00679	-11.10912	0.02044	EulerCAM
57745.08527	-11.62425	0.01929	-12.12711	0.00996	-11.13127	0.01653	EulerCAM
57749.11877	-11.59289	0.01385	-12.15266	0.00800	-11.04820	0.01916	EulerCAM
57750.04492	-11.58776	0.01590	-12.13034	0.01009	-11.06978	0.02298	WFI
57752.05401	-11.57963	0.00496	-12.13525	0.00581	-11.07277	0.00743	WFI
57754.05367	-11.57521	0.00423	-12.13603	0.00366	-11.06517	0.00609	WFI
57756.07272	-11.58335	0.00449	-12.13792	0.00341	-11.06591	0.00664	WFI
57757.17028	-11.57761	0.01176	-12.13047	0.01097	-11.06826	0.01864	EulerCAM
57758.11561	-11.56443	0.00501	-12.12926	0.00334	-11.05596	0.01198	WFI
57759.10868	-11.59070	0.00671	-12.14476	0.00386	-11.06978	0.00927	WFI
57760.14758	-11.57865	0.00648	-12.13564	0.00414	-11.06168	0.01003	WFI
57761.13601	-11.58275	0.03328	-12.14604	0.01276	-11.07543	0.06123	EulerCAM
57762.09656	-11.55586	0.01310	-12.13627	0.00482	-11.06479	0.02442	WFI
57764.09702	-11.54385	0.01270	-12.14772	0.00476	-11.04948	0.01172	WFI
57768.05121	-11.53283	0.00434	-12.16481	0.00300	-11.05224	0.00642	WFI
57769.09227	-11.51671	0.01562	-12.15808	0.00952	-11.04891	0.01905	EulerCAM
57769.14731	-11.52140	0.00655	-12.16814	0.00629	-11.05140	0.00977	WFI
57770.11815	-11.51966	0.00497	-12.17554	0.00311	-11.05566	0.00716	WFI
57772.21384	-11.51375	0.00619	-12.18877	0.00363	-11.05548	0.01248	WFI
57773.08919	-11.50581	0.01301	-12.17389	0.00986	-11.06503	0.02240	EulerCAM
57773.13960	-11.51472	0.00405	-12.19255	0.00274	-11.05317	0.00553	WFI
57779.08805	-11.48748	0.00443	-12.22238	0.00265	-11.04472	0.00597	WFI
57782.09394	-11.46988	0.00459	-12.24146	0.00280	-11.04814	0.00626	WFI
57784.04507	-11.44994	0.00580	-12.25189	0.00403	-11.05832	0.00794	WFI
57785.11476	-11.45068	0.02202	-12.26165	0.00999	-11.05531	0.01368	EulerCAM
57785.16717	-11.46265	0.00441	-12.26057	0.00327	-11.02939	0.00587	WFI
57789.05522	-11.45363	0.00942	-12.26441	0.00860	-11.05750	0.01329	WFI
57790.08255	-11.44753	0.00882	-12.26398	0.00448	-11.02805	0.02534	WFI
57791.04340	-11.43368	0.00945	-12.26193	0.00472	-11.02328	0.01353	WFI
57791.06227	-11.35987	0.03152	-12.22561	0.01493	-11.01109	0.04337	EulerCAM
57793.03462	-11.38704	0.02613	-12.28221	0.01190	-11.10189	0.03368	WFI
57794.03444	-11.42924	0.01664	-12.26370	0.01009	-11.08177	0.02298	WFI
57795.06498	-11.42011	0.04094	-12.17953	0.02085	-10.99658	0.05911	EulerCAM
57796.09438	-11.37226	0.01540	-12.27219	0.00698	-11.02802	0.02095	WFI
57797.07446	-11.39517	0.00798	-12.26946	0.00419	-11.03912	0.01074	WFI
57798.12350	-11.32245	0.01944	-12.26920	0.00843	-11.10481	0.02364	WFI
57799.08594	-11.42606	0.01079	-12.27928	0.00518	-11.05303	0.01503	WFI
57799.09079	-11.35768	0.02967	-12.28438	0.02513	-11.07242	0.02764	EulerCAM
57800.10292	-11.40015	0.00693	-12.27674	0.00528	-11.07853	0.00907	WFI
57802.09676	-11.40787	0.00654	-12.27066	0.00336	-11.07610	0.00863	WFI
57803.03418	-11.39368	0.01606	-12.26561	0.00504	-11.03543	0.01320	EulerCAM
57803.10727	-11.38051	0.00536	-12.28009	0.00299	-11.04420	0.00656	WFI
57805.07546	-11.38220	0.00494	-12.28019	0.00291	-11.06728	0.00719	WFI
57806.06236	-11.38920	0.00899	-12.26747	0.00443	-11.08062	0.01171	WFI
57809.04959	-11.37640	0.00661	-12.30283	0.00325	-11.10071	0.00830	WFI
57809.08638	-11.37901	0.04096	-12.30455	0.01677	-11.00488	0.02261	EulerCAM
57811.05007	-11.35489	0.01689	-12.28275	0.01543	-11.06448	0.03432	EulerCAM
57811.05368	-11.38169	0.00637	-12.31104	0.00524	-11.08089	0.00817	WFI
57812.07427	-11.38011	0.00855	-12.31971	0.00371	-11.06600	0.00860	WFI
57814.05950	-11.36693	0.00874	-12.32879	0.00614	-11.10122	0.00736	WFI
57815.04647	-11.38149	0.00623	-12.33070	0.00228	-11.08330	0.00575	WFI
57816.01448	-11.32557	0.02017	-12.31043	0.00955	-11.11870	0.03760	EulerCAM
57817.05835	-11.35739	0.01013	-12.33274	0.00443	-11.12695	0.01240	WFI
57819.01965	-11.35900	0.00917	-12.33270	0.00492	-11.07303	0.01127	WFI
57820.01297	-11.28615	0.03671	-12.26796	0.01369	-11.07644	0.04986	EulerCAM
57820.01822	-11.36419	0.01115	-12.32699	0.00709	-11.08836	0.01423	WFI
57821.03169	-11.34765	0.02349	-12.33496	0.00685	-11.04671	0.02958	WFI
57823.02754	-11.36812	0.01513	-12.34278	0.00834	-11.09232	0.01735	WFI
57824.01095	-11.31305	0.03193	-12.34683	0.01311	-10.99975	0.04267	EulerCAM
57826.01656	-11.29673	0.01272	-12.31984	0.00531	-11.08984	0.01523	WFI
57827.04183	-11.26990	0.04562	-12.34206	0.00867	-11.13894	0.02420	WFI
57829.01548	-11.32943	0.00636	-12.31513	0.00399	-11.10658	0.01027	WFI
57829.04636	-11.36552	0.01423	-12.30096	0.01385	-11.12149	0.01883	EulerCAM
57832.02940	-11.33528	0.01614	-12.31554	0.01071	-11.06834	0.04962	EulerCAM
57837.00646	-11.35423	0.02448	-12.31110	0.01167	-11.16277	0.04049	EulerCAM
57838.02164	-11.29580	0.00542	-12.27435	0.00375	-11.12473	0.01371	WFI
57839.00753	-11.31284	0.00885	-12.27056	0.00396	-11.11036	0.00965	WFI
57840.99953	-11.33408	0.02090	-12.28373	0.01455	-11.10893	0.03092	EulerCAM
57841.02252	-11.30724	0.00872	-12.27037	0.00423	-11.13698	0.01655	WFI
57842.00710	-11.33843	0.00851	-12.26851	0.00520	-11.14634	0.01507	WFI
57843.00343	-11.32425	0.01070	-12.27823	0.00445	-11.14902	0.01043	WFI
57843.99751	-11.34226	0.02486	-12.30477	0.01932	-11.21415	0.02809	EulerCAM
57846.00763	-11.32980	0.01077	-12.25386	0.00403	-11.12569	0.01188	WFI
57847.00059	-11.34388	0.01965	-12.22016	0.01874	-11.09866	0.06918	WFI
57847.99645	-11.34164	0.01402	-12.26292	0.00781	-11.13424	0.03976	WFI
57849.99811	-11.34869	0.01823	-12.26979	0.00741	-11.14029	0.02007	WFI
57851.99009	-11.35223	0.03146	-12.21976	0.01452	-11.17904	0.03676	WFI
